v1,#D40045
v2,#EE0026
v3,#FD1A1C
v4,#FE4118
v5,#FF590B
v6,#FF7F00
v7,#FFCC00
v8,#FFE600
v9,#CCE700
v10,#99CF15
v11,#66B82B
v12,#33A23D
v13,#008F62
v14,#008678
v15,#007A87
v16,#055D87
v17,#093F86
v18,#0F218B
v19,#1D1A88
v20,#281285
v21,#340C81
v22,#56007D
v23,#770071
v24,#AF0065
b1,#ED3B6B
b2,#FA344D
b3,#FC3633
b4,#FC4E33
b5,#FF6E2B
b6,#FF9913
b7,#FFCB1F
b8,#FFF231
b9,#CDE52F
b10,#99D02C
b11,#55A73B
b12,#32A65D
b13,#2DA380
b14,#1AA28E
b15,#1FB3B3
b16,#1C86AE
b17,#2B78B0
b18,#396BB0
b19,#5468AD
b20,#6A64AE
b21,#8561AB
b22,#A459AB
b23,#C75BB1
b24,#DF4C93
s1,#B01040
s2,#CA1028
s3,#CC2211
s4,#CC4613
s5,#D45F10
s6,#D97610
s7,#D19711
s8,#CCB914
s9,#B3B514
s10,#8CA114
s11,#41941E
s12,#28853F
s13,#287A52
s14,#297364
s15,#26707B
s16,#205B85
s17,#224A87
s18,#243B8B
s19,#241F86
s20,#3D1C84
s21,#4E2283
s22,#5F2883
s23,#8C1D84
s24,#9A0F50
dp1,#870042
dp2,#9D002B
dp3,#A20715
dp4,#A51200
dp5,#A42F03
dp6,#A24A02
dp7,#A46603
dp8,#A48204
dp9,#949110
dp10,#518517
dp11,#307A25
dp12,#306F42
dp13,#186A53
dp14,#025865
dp15,#034F69
dp16,#04436E
dp17,#05426F
dp18,#073E74
dp19,#152A6B
dp20,#232266
dp21,#3F1B63
dp22,#531560
dp23,#690C5C
dp24,#75004F
lt1,#EE7296
lt2,#FB7482
lt3,#FA7272
lt4,#FB8071
lt5,#FA996F
lt6,#FDB56D
lt7,#FCD474
lt8,#FEF27A
lt9,#DDED71
lt10,#B3DE6A
lt11,#9AD47F
lt12,#7FC97E
lt13,#72C591
lt14,#66C1AF
lt15,#66C4C4
lt16,#67B1CA
lt17,#67A9C9
lt18,#689ECA
lt19,#7288C2
lt20,#817DBA
lt21,#9678B8
lt22,#B173B6
lt23,#C972B6
lt24,#E170A4
sf1,#BD576F
sf2,#C95F6B
sf3,#CF5E5A
sf4,#D77957
sf5,#D6763A
sf6,#D89048
sf7,#D29F34
sf8,#CCBA4C
sf9,#C0B647
sf10,#B3B140
sf11,#79B055
sf12,#66AC78
sf13,#5BA37E
sf14,#4E9B87
sf15,#4E9995
sf16,#4F8B96
sf17,#4E7592
sf18,#516691
sf19,#535A90
sf20,#5C5791
sf21,#77568F
sf22,#8B5587
sf23,#9E5485
sf24,#B05076
d1,#8C355F
d2,#994052
d3,#A6424C
d4,#B24443
d5,#B34D3E
d6,#B25939
d7,#A66E3D
d8,#997F42
d9,#8C8946
d10,#757E47
d11,#678049
d12,#5A814C
d13,#39764D
d14,#2A6A69
d15,#256B75
d16,#1D6283
d17,#204F79
d18,#214275
d19,#2E3A76
d20,#39367B
d21,#493278
d22,#5F3179
d23,#772D7A
d24,#802A69
dk1,#632534
dk2,#632A31
dk3,#6B2B29
dk4,#743526
dk5,#6E3D1F
dk6,#6B4919
dk7,#695018
dk8,#6A5B18
dk9,#6E6E26
dk10,#56561A
dk11,#506B3E
dk12,#355935
dk13,#28523A
dk14,#1E4B44
dk15,#154D4E
dk16,#0E4250
dk17,#123B4F
dk18,#163450
dk19,#222A4E
dk20,#312C4C
dk21,#3E2E49
dk22,#4A304B
dk23,#57304B
dk24,#643142
p1,#EEAFCE
p2,#FBB4C4
p3,#FAB6B5
p4,#FDCDB7
p5,#FBD8B0
p6,#FEE6AA
p7,#FCF1AF
p8,#FEFFB3
p9,#EEFAB2
p10,#E6F5B0
p11,#D9F6C0
p12,#CCEAC4
p13,#C0EBCD
p14,#B3E2D8
p15,#B4DDDF
p16,#B4D7DD
p17,#B5D2E0
p18,#B3CEE3
p19,#B4C2DD
p20,#B2B6D9
p21,#BCB2D5
p22,#CAB2D6
p23,#DAAFDC
p24,#E4ADD5
ltg1,#C99FB3
ltg2,#D7A4B5
ltg3,#D6A9A4
ltg4,#D7AFA7
ltg5,#D9B59F
ltg6,#D8BA96
ltg7,#D9C098
ltg8,#D9C69B
ltg9,#C5CB9B
ltg10,#AAC09A
ltg11,#A0BD9E
ltg12,#9EBCA4
ltg13,#99BAA7
ltg14,#92B8AD
ltg15,#91B8B7
ltg16,#91AFBA
ltg17,#92A9B9
ltg18,#91A4B5
ltg19,#9199B0
ltg20,#9191AD
ltg21,#9C93AE
ltg22,#A997B1
ltg23,#B89AB6
ltg24,#C09FB4
g1,#6B455A
g2,#7D4F5A
g3,#7C575E
g4,#7D5F61
g5,#7E6261
g6,#7C6764
g7,#7C6A5E
g8,#7E6F5A
g9,#72755A
g10,#636F5B
g11,#586E57
g12,#476C5B
g13,#416863
g14,#395B64
g15,#38555D
g16,#384E5C
g17,#38475A
g18,#394158
g19,#353654
g20,#3F3051
g21,#463353
g22,#4A3753
g23,#553857
g24,#5B3A55
dkg1,#3C2D30
dkg2,#3A2B2E
dkg3,#3B2B2C
dkg4,#3A2C2B
dkg5,#40322F
dkg6,#463B35
dkg7,#453B31
dkg8,#47402C
dkg9,#42412F
dkg10,#3E3F31
dkg11,#2C382A
dkg12,#24332C
dkg13,#23342E
dkg14,#253532
dkg15,#253535
dkg16,#283639
dkg17,#232C33
dkg18,#212832
dkg19,#242331
dkg20,#282530
dkg21,#2A2730
dkg22,#2D2A31
dkg23,#362C34
dkg24,#392D31
W,#f1f1f1
Gy-9.0,#E3E3E3
Gy-8.5,#D5D5D5
Gy-8.0,#C8C8C8
Gy-7.5,#BBBBBB
Gy-7.0,#ADADAD
Gy-6.5,#A0A0A0
Gy-6.0,#939393
Gy-5.5,#868686
Gy-5.0,#797979
Gy-4.5,#6D6D6D
Gy-4.0,#606060
Gy-3.5,#545454
Gy-3.0,#484848
Gy-2.5,#3C3C3C
Gy-2.0,#313131
Bk,#252525
